State,StateNum,Region,Lat,Long,Month,Month_Sin,Month_Cos,OutageStart,OutageEnd,OutageLength,Sum
Alabama,1,6,32.59724126,-86.14884036,11.152083333333334,-0.823507845067224,0.5673048819750602,2014-11-05 13:30:00,2014-11-06 15:45:00,26.25,1096.198113207547
Alabama,1,6,31.73169775,-86.31341907,11.547916666666667,-0.6891454266889918,0.7246230612350447,2014-11-17 10:30:00,2014-11-17 12:30:00,2.0,816.0
Alabama,1,6,31.24861005,-86.45142629,11.54861111111111,-0.6888819007577053,0.7248735936757877,2014-11-17 11:00:00,2014-11-17 12:15:00,1.25,383.0
Alabama,1,6,31.73169775,-86.31341907,11.552430555555556,-0.6874308810378766,0.726249808120793,2014-11-17 13:45:00,2014-11-17 20:45:00,7.0,830.8620689655172
Alabama,1,6,31.80232564,-85.94087373,11.760416666666666,-0.6044253246046094,0.7966618021322552,2014-11-23 19:30:00,2014-11-23 21:15:00,1.75,336.875
Alabama,1,6,32.1550404,-86.65002353,12.61122311827957,-0.2021601367748086,0.9793524794981584,2014-12-19 22:45:00,2014-12-20 00:45:00,2.0,606.0
Alabama,1,6,32.1550404,-86.65002353,12.744287634408602,-0.1334910032705873,0.9910500249966256,2014-12-24 01:45:00,2014-12-24 04:00:00,2.25,407.2
Alabama,1,6,32.59724126,-86.14884036,1.1088709677419355,0.0569738372790955,0.9983756717116534,2015-01-04 09:00:00,2015-01-04 10:15:00,1.25,783.0
Alabama,1,6,32.1550404,-86.65002353,1.1868279569892473,0.0976669477736592,0.995219155418834,2015-01-06 19:00:00,2015-01-06 21:45:00,2.75,465.0
Alabama,1,6,31.24861005,-86.45142629,1.23252688172043,0.1214502229160125,0.9925975233465228,2015-01-08 05:00:00,2015-01-08 06:45:00,1.75,723.0
Alabama,1,6,31.24861005,-86.45142629,1.5252016129032258,0.2715420492361894,0.9624265766782476,2015-01-17 06:45:00,2015-01-17 08:15:00,1.5,395.7142857142857
Alabama,1,6,32.32606741,-87.10649231,3.206317204301075,0.9148858125951976,0.4037127071470808,2015-03-07 09:30:00,2015-03-07 16:30:00,7.0,1118.2413793103449
Alabama,1,6,32.53514228,-86.64289976,3.7913306451612905,0.9940371687500712,0.109041767884342,2015-03-25 12:45:00,2015-03-25 14:30:00,1.75,848.125
Alabama,1,6,32.53514228,-86.64289976,3.7943548387096775,0.994208586192678,0.1074676097284969,2015-03-25 15:00:00,2015-03-25 18:15:00,3.25,851.0
Alabama,1,6,32.1550404,-86.65002353,4.608680555555556,0.9496421757202588,-0.3133364614807753,2015-04-19 06:15:00,2015-04-19 11:00:00,4.75,443.25
Alabama,1,6,31.73169775,-86.31341907,4.625347222222223,0.9468716745020266,-0.3216116167456147,2015-04-19 18:15:00,2015-04-19 21:00:00,2.75,443.1666666666667
Alabama,1,6,31.24861005,-86.45142629,4.835763888888889,0.9057692140755582,-0.4237713190306131,2015-04-26 01:45:00,2015-04-26 03:00:00,1.25,258.1666666666667
Alabama,1,6,32.53514228,-86.64289976,5.145497311827957,0.8254592575057714,-0.5644617030392943,2015-05-05 12:15:00,2015-05-05 18:30:00,6.25,1384.0
Alabama,1,6,32.53514228,-86.64289976,5.156586021505376,0.8221680785285462,-0.5692448073093668,2015-05-05 20:30:00,2015-05-05 23:45:00,3.25,1329.428571428571
Alabama,1,6,32.59724126,-86.14884036,5.180779569892473,0.8148912757744209,-0.57961384444019,2015-05-06 14:30:00,2015-05-06 19:15:00,4.75,1333.05
Alabama,1,6,32.1550404,-86.65002353,5.644153225806452,0.6517728807028367,-0.7584142087146877,2015-05-20 23:15:00,2015-05-21 01:00:00,1.75,273.125
Alabama,1,6,31.24861005,-86.45142629,5.652889784946236,0.6482967442999331,-0.7613877667326335,2015-05-21 05:45:00,2015-05-21 09:00:00,3.25,326.0
Alabama,1,6,32.32606741,-87.10649231,5.770833333333333,0.600071239924481,-0.7999465651001296,2015-05-24 21:30:00,2015-05-24 23:30:00,2.0,579.3333333333334
Alabama,1,6,31.73169775,-86.31341907,5.875672043010753,0.555277620356754,-0.8316650553744221,2015-05-28 03:30:00,2015-05-28 07:45:00,4.25,445.05555555555554
Alabama,1,6,32.32606741,-87.10649231,6.398611111111111,0.309708540418132,-0.9508315413321492,2015-06-12 23:00:00,2015-06-13 00:45:00,1.75,868.0
Alabama,1,6,31.80232564,-85.94087373,6.420486111111111,0.2987979024698429,-0.9543164116159912,2015-06-13 14:45:00,2015-06-13 16:00:00,1.25,274.3333333333333
Alabama,1,6,31.73169775,-86.31341907,6.4319444444444445,0.2930670717946017,-0.9560918844074232,2015-06-13 23:00:00,2015-06-14 00:30:00,1.5,492.4285714285714
Alabama,1,6,32.53514228,-86.64289976,6.73125,0.1402532328362963,-0.9901156653032857,2015-06-22 22:30:00,2015-06-22 23:45:00,1.25,726.0
Alabama,1,6,32.1550404,-86.65002353,6.804166666666667,0.1023585060349557,-0.9947475741323988,2015-06-25 03:00:00,2015-06-25 06:30:00,3.5,310.4
Alabama,1,6,31.24861005,-86.45142629,7.056115591397849,-0.0293778275171299,-0.9995683784766172,2015-07-02 17:45:00,2015-07-02 19:00:00,1.25,488.0
Alabama,1,6,32.53514228,-86.64289976,7.13508064516129,-0.0706691061297102,-0.9974998132525278,2015-07-05 04:30:00,2015-07-05 07:30:00,3.0,649.4615384615385
Alabama,1,6,32.53514228,-86.64289976,7.455309139784946,-0.2361475097499133,-0.9717172189680054,2015-07-15 02:45:00,2015-07-15 04:45:00,2.0,1451.2222222222222
Alabama,1,6,32.59724126,-86.14884036,7.710013440860215,-0.3632577873508911,-0.931688671139096,2015-07-23 00:15:00,2015-07-23 03:15:00,3.0,987.3076923076924
Alabama,1,6,32.1550404,-86.65002353,7.712365591397849,-0.364404963627211,-0.9312405824940464,2015-07-23 02:00:00,2015-07-23 08:00:00,6.0,297.0
Alabama,1,6,32.1550404,-86.65002353,7.731854838709677,-0.3738887130073648,-0.9274735739015404,2015-07-23 16:30:00,2015-07-23 19:15:00,2.75,319.8333333333333
Alabama,1,6,32.59724126,-86.14884036,7.963373655913978,-0.4833008667019022,-0.8754543233345702,2015-07-30 20:45:00,2015-07-31 02:45:00,6.0,719.0
Alabama,1,6,31.80232564,-85.94087373,8.19858870967742,-0.5871872688528306,-0.8094511172993423,2015-08-07 03:45:00,2015-08-07 05:15:00,1.5,686.7142857142857
Alabama,1,6,32.53514228,-86.64289976,8.45396505376344,-0.6898590389164557,-0.7239437177193155,2015-08-15 01:45:00,2015-08-15 07:30:00,5.75,717.0
Alabama,1,6,32.53514228,-86.64289976,9.016319444444443,-0.870266156426849,-0.4925817870953404,2015-09-01 11:45:00,2015-09-01 13:00:00,1.25,379.0
Alabama,1,6,31.24861005,-86.45142629,9.194791666666667,-0.9124328598975984,-0.4092264363150185,2015-09-06 20:15:00,2015-09-06 21:30:00,1.25,244.0
Alabama,1,6,31.24861005,-86.45142629,9.397916666666667,-0.9507188652755976,-0.3100542520416063,2015-09-12 22:30:00,2015-09-13 04:00:00,5.5,335.5217391304348
Alabama,1,6,32.53514228,-86.64289976,11.653125,-0.64820296814973,0.7614676040921767,2015-11-20 14:15:00,2015-11-20 18:00:00,3.75,1201.0
Alabama,1,6,32.84771004,-86.71887934,11.775694444444444,-0.598033216916282,0.8014713166824894,2015-11-24 06:30:00,2015-11-24 12:15:00,5.75,1641.9166666666667
Alabama,1,6,32.1550404,-86.65002353,12.09274193548387,-0.4573733175355151,0.8892747879067284,2015-12-03 21:00:00,2015-12-04 02:45:00,5.75,430.0
Alabama,1,6,31.80232564,-85.94087373,12.313844086021506,-0.3515913059091729,0.9361535950948874,2015-12-10 17:30:00,2015-12-10 20:30:00,3.0,431.0
Alabama,1,6,30.72782468,-87.72274477,12.365927419354838,-0.3259341109768831,0.9453924874366776,2015-12-12 08:15:00,2015-12-12 10:45:00,2.5,6720.909090909091
Alabama,1,6,32.59724126,-86.14884036,12.695228494623656,-0.1589015697438277,0.9872944298095414,2015-12-22 13:15:00,2015-12-22 20:15:00,7.0,2171.620689655173
Alabama,1,6,31.80232564,-85.94087373,12.771505376344086,-0.1193542971445559,0.9928517269729298,2015-12-24 22:00:00,2015-12-25 00:30:00,2.5,654.7272727272727
Alabama,1,6,32.59724126,-86.14884036,12.799059139784946,-0.1050183851240461,0.9944702804940616,2015-12-25 18:30:00,2015-12-25 21:15:00,2.75,1321.0
Alabama,1,6,32.59724126,-86.14884036,12.905913978494624,-0.0492434020878792,0.9987868077576972,2015-12-29 02:00:00,2015-12-29 03:45:00,1.75,765.125
Alabama,1,6,31.24861005,-86.45142629,1.1811155913978495,0.094689827165204,0.9955068240004304,2016-01-06 14:45:00,2016-01-06 16:00:00,1.25,512.0
Alabama,1,6,32.59724126,-86.14884036,1.4425403225806452,0.2296456345633957,0.9732743100102742,2016-01-14 17:15:00,2016-01-14 21:00:00,3.75,1393.0
Alabama,1,6,32.53514228,-86.64289976,1.723790322580645,0.3699690686090895,0.9290440722982536,2016-01-23 10:30:00,2016-01-23 12:15:00,1.75,381.5
Alabama,1,6,31.40188396,-85.98828821,1.80880376344086,0.4109434223040545,0.9116608490359952,2016-01-26 01:45:00,2016-01-26 04:30:00,2.75,790.0
Alabama,1,6,31.24861005,-86.45142629,2.515804597701149,0.7129340013047609,0.7012311386294701,2016-02-15 23:00:00,2016-02-16 08:00:00,9.0,883.6486486486486
Alabama,1,6,32.53514228,-86.64289976,2.5172413793103448,0.7134613336581598,0.7006946020733427,2016-02-16 00:00:00,2016-02-16 01:30:00,1.5,1085.857142857143
Alabama,1,6,31.80232564,-85.94087373,2.5176005747126435,0.7135931036669009,0.7005604059601425,2016-02-16 00:15:00,2016-02-16 04:30:00,4.25,515.4444444444445
Alabama,1,6,31.40188396,-85.98828821,2.518318965517241,0.7138565679562225,0.700291939397965,2016-02-16 00:45:00,2016-02-16 03:30:00,2.75,929.5
Alabama,1,6,31.80232564,-85.94087373,2.797772988505747,0.808331051361049,0.5887282152279956,2016-02-24 03:15:00,2016-02-24 05:00:00,1.75,284.25
Alabama,1,6,32.32606741,-87.10649231,2.8013649425287355,0.8094368674069785,0.5872069121548021,2016-02-24 05:45:00,2016-02-24 08:00:00,2.25,867.2
Alabama,1,6,31.73169775,-86.31341907,3.0971102150537635,0.8903185769864458,0.455338150688947,2016-03-04 00:15:00,2016-03-04 01:30:00,1.25,352.0
Alabama,1,6,32.53514228,-86.64289976,3.470094086021505,0.9617548045244012,0.2739118397846851,2016-03-15 13:45:00,2016-03-15 16:00:00,2.25,845.0
Alabama,1,6,31.24861005,-86.45142629,3.768481182795699,0.9926614890971868,0.1209262918614288,2016-03-24 19:45:00,2016-03-24 22:15:00,2.5,443.09090909090907
Alabama,1,6,32.1550404,-86.65002353,4.20625,0.9941745021174282,-0.1077824630427592,2016-04-07 04:30:00,2016-04-07 09:00:00,4.5,383.42105263157896
Alabama,1,6,31.24861005,-86.45142629,4.373958333333333,0.9808915397812727,-0.1945553576376749,2016-04-12 05:15:00,2016-04-12 07:00:00,1.75,288.25
Alabama,1,6,31.40188396,-85.98828821,4.376041666666667,0.9806787292632017,-0.1956252283595143,2016-04-12 06:45:00,2016-04-12 08:30:00,1.75,1448.0
Alabama,1,6,32.59724126,-86.14884036,4.9684027777777775,0.8741786414577184,-0.485604471580666,2016-04-30 01:15:00,2016-04-30 03:30:00,2.25,781.6
Alabama,1,6,32.53514228,-86.64289976,4.969791666666667,0.873825268797159,-0.4862400637664205,2016-04-30 02:15:00,2016-04-30 04:45:00,2.5,590.9090909090909
Alabama,1,6,31.98928301,-87.30786547,5.029233870967742,0.8582708407862983,-0.5131970029686267,2016-05-01 21:45:00,2016-05-02 07:00:00,9.25,966.0
Alabama,1,6,31.80232564,-85.94087373,5.699932795698925,0.6293477369420658,-0.777123816393437,2016-05-22 16:45:00,2016-05-22 18:00:00,1.25,433.0
Alabama,1,6,32.32606741,-87.10649231,6.405555555555556,0.3062491796254077,-0.9519513853021933,2016-06-13 04:00:00,2016-06-13 12:00:00,8.0,469.969696969697
Alabama,1,6,34.76292257,-86.55056927,6.4996527777777775,0.2589946510949877,-0.9658787556956544,2016-06-15 23:45:00,2016-06-16 02:15:00,2.5,5952.363636363636
Alabama,1,6,31.24861005,-86.45142629,6.524305555555555,0.2465056990528512,-0.9691413417734616,2016-06-16 17:30:00,2016-06-16 20:00:00,2.5,798.5454545454545
Alabama,1,6,32.53514228,-86.64289976,6.563194444444444,0.226722136368572,-0.9739594821554286,2016-06-17 21:30:00,2016-06-18 04:00:00,6.5,899.8148148148148
Alabama,1,6,32.84771004,-86.71887934,6.563541666666667,0.2265450617919384,-0.9740006853065796,2016-06-17 21:45:00,2016-06-18 04:00:00,6.25,2626.846153846154
Alabama,1,6,32.32606741,-87.10649231,6.564236111111111,0.2261908901804719,-0.9740829950262788,2016-06-17 22:15:00,2016-06-18 04:00:00,5.75,699.625
Alabama,1,6,31.75252432,-86.68040924,6.565277777777778,0.2256595767055718,-0.9742062181289248,2016-06-17 23:00:00,2016-06-18 04:00:00,5.0,1705.4761904761904
Alabama,1,6,31.73169775,-86.31341907,6.565277777777778,0.2256595767055718,-0.9742062181289248,2016-06-17 23:00:00,2016-06-18 04:00:00,5.0,634.8571428571429
